code;name;descr
000000;Business Partner (Gen.);Business Partner (General)
BBP000;Vendor;Vendor
BBP001;Bidder;Bidder
BBP002;Portal Provider;Portal Provider
BBP003;Plant;Plant
BBP004;Purchasing Firm;Purchasing Firm
BBP005;Service Performer;Service Performer
BBP006;Invoicing Party;Invoicing Party
BBP010;Freelance;Freelance
BKK010;Account Holder;Account Holder
BKK020;Authorized Drawer;Authorized Drawer
BKK030;Correspondence Recipient;Correspondence Recipient
BKK200;Acct Maintenance Officer;Account Maintenance Officer
BUP001;Contact Person;Contact Person
BUP002;Prospect;Prospect
BUP003;Employee;Employee
BUP004;Organizational Unit;Organizational Unit
BUP005;Internet User;Internet User
CACSA1;Commission Contract Part.;Commission Contract Partner
CACSA2;Commission Clerk;Commission Clerk
CACSA3;Agents;Agents
CBIH10;External Person;External Person
CBIH20;Authority;Authority
CLERK1;First Processor;First Processor
CLERK2;Second Processor;Second Processor
CMS001;Collateral Partner;CMS Collateral Partner
CRM000;Sold-To Party;Sold-To Party
CRM002;Goods Recipient;Goods Recipient
CRM003;Payer;Payer
CRM004;Bill-To Party;Bill-To Party
CRM007;Supplier;Supplier
CRM010;Carrier;Carrier
CRM012;Consolidator;Consolidating Plant
CRM013;Remanufacturer;Remanufacturer
FLCU00;FI Customer;Business Partner FI Customer
FLCU01;Customer;Business Partner Customer
FLVN00;FI Vendor;Business Partner Vendor
FLVN01;Vendor;Business Partner Vendor
FS0000;Financial Services BP;Financial Services Business Partner
FS0003;BP Differentiation;BP Financial Services with Differentiation
FS0KNE;Borrower Entity;Business Partner Borrower Entity
HEA010;Doctor;Doctor
HEA020;External Physician;External Physician
HEA030;Health Center;Health Center
HEA040;Laboratory;Laboratory
HEA050;External Company;External Company
HR1000;HR- Payee;Human Resources Payee
LM0001;Warehouse Worker;Warehouse Worker
MKK;Contract Partner;Contract Partner
PSSP01;Sponsor;Sponsor
RCFAGY;Agency;Agency
RCFBRA;Branch Role;
RCFVEN;Service Provider;Service Provider
RTP010;Beneficiary;Retirement Plan Beneficiary
RTP050;Deceased Ret.Plan Holder;Deceased Holder of a Retirement Plan
TM0001;Driver;Driver
